glottal_gap,time
0.07154065,0.5689
0.067162731,0.569
0.06306763,0.5691
0.059269777,0.5692
0.055779203,0.5693
0.052600953,0.5694
0.0494772,0.5695
0.046270023,0.5696
0.04332821,0.5697
0.040698326,0.5698
0.037973785,0.5699
0.035133358,0.57
0.03266548,0.5701
0.030001378,0.5702
0.027541531,0.5703
0.02551607,0.5704
0.023324811,0.5705
0.02166402,0.5706
0.020633217,0.5707
0.019395984,0.5708
0.01871284,0.5709
0.018772921,0.571
0.019197402,0.5711
0.019654541,0.5712
0.020793486,0.5713
0.022754712,0.5714
0.024606688,0.5715
0.026909009,0.5716
0.029972751,0.5717
0.033454966,0.5718
0.037002937,0.5719
0.041149549,0.572
0.045820217,0.5721
0.050416028,0.5722
0.055110305,0.5723
0.060248398,0.5724
0.065783941,0.5725
0.071557682,0.5726
0.077427648,0.5727
0.083308799,0.5728
0.08913096,0.5729
0.094809349,0.573
0.100273652,0.5731
0.105456361,0.5732
0.110299426,0.5733
0.114745822,0.5734
0.118745346,0.5735
0.122262687,0.5736
0.125276262,0.5737
0.127776943,0.5738
0.129764785,0.5739
0.131244742,0.574
0.132228131,0.5741
0.132728132,0.5742
0.132758772,0.5743
0.132333752,0.5744
0.131465922,0.5745
0.130167092,0.5746
0.128448667,0.5747
0.12632669,0.5748
0.122952755,0.5749
0.117315593,0.575
0.111414049,0.5751
0.105424829,0.5752
0.099392145,0.5753
0.093330178,0.5754
0.087258371,0.5755
0.081202639,0.5756
0.07514514,0.5757
0.069029637,0.5758
0.063032241,0.5759
0.057210205,0.576
0.051613463,0.5761
0.04628876,0.5762
0.041283562,0.5763
0.036643754,0.5764
0.03240998,0.5765
0.028235615,0.5766
0.02443263,0.5767
0.021073899,0.5768
0.018200065,0.5769
0.015833888,0.577
0.013467208,0.5771
0.011029978,0.5772
0.009101286,0.5773
0.007117903,0.5774
0.005695993,0.5775
0.005593579,0.5776
0.005593057,0.5777
0.005634235,0.5778
0.005713439,0.5779
0.006072406,0.578
0.006317744,0.5781
0.006446114,0.5782
0.007201573,0.5783
0.008798641,0.5784
0.011441591,0.5785
0.015111646,0.5786
0.019734191,0.5787
0.024914145,0.5788
0.029878671,0.5789
0.03518861,0.579
0.041266871,0.5791
0.048048426,0.5792
0.055284808,0.5793
0.062838284,0.5794
0.070509274,0.5795
0.078148912,0.5796
0.085684613,0.5797
0.093067426,0.5798
0.100230094,0.5799
0.107126196,0.58
0.113708792,0.5801
0.119934351,0.5802
0.125750117,0.5803
0.131102881,0.5804
0.135951981,0.5805
0.140275107,0.5806
0.144068785,0.5807
0.147343386,0.5808
0.150114395,0.5809
0.152400147,0.581
0.154215134,0.5811
0.155569682,0.5812
0.156470515,0.5813
0.1569224,0.5814
0.156929091,0.5815
0.153621911,0.5816
0.149555267,0.5817
0.145188805,0.5818
0.140580323,0.5819
0.135750936,0.582
0.130725948,0.5821
0.125531114,0.5822
0.120200631,0.5823
0.114776589,0.5824
0.109308284,0.5825
0.103847959,0.5826
0.098447698,0.5827
0.093053885,0.5828
0.087717715,0.5829
0.082554004,0.583
0.077601569,0.5831
0.072888574,0.5832
0.0684367,0.5833
0.064263547,0.5834
0.060382922,0.5835
0.056804895,0.5836
0.053535648,0.5837
0.050535611,0.5838
0.047251363,0.5839
0.044211113,0.584
0.041476131,0.5841
0.038921324,0.5842
0.035981553,0.5843
0.033374264,0.5844
0.030847525,0.5845
0.028258008,0.5846
0.026168166,0.5847
0.023988754,0.5848
0.022157254,0.5849
0.020949877,0.585
0.019815269,0.5851
0.018946036,0.5852
0.018751512,0.5853
0.019231254,0.5854
0.01951266,0.5855
0.020397697,0.5856
0.022088947,0.5857
0.024078194,0.5858
0.026162422,0.5859
0.028961039,0.586
